Opening serial port 'COM25'
Connection opened.
-I- === Initialize eMMC access ===
Detected memory size is 3925868544 bytes.
Page size is 512 bytes.
Buffer is 88576 bytes (173 pages) at address 0x0022a440.
-I- === Load images on eMMC ===
Wrote 88576 bytes at address 0x01b33400 (2.66%)
Wrote 88576 bytes at address 0x01b48e00 (2.67%)
Wrote 88576 bytes at address 0x01b5e800 (2.68%)
Wrote 88576 bytes at address 0x01b74200 (2.69%)
Wrote 88576 bytes at address 0x01b89c00 (2.70%)
Wrote 88576 bytes at address 0x01b9f600 (2.71%)
Wrote 88576 bytes at address 0x01bb5000 (2.71%)
Wrote 88576 bytes at address 0x01bcaa00 (2.72%)
Wrote 88576 bytes at address 0x01be0400 (2.73%)
Wrote 88576 bytes at address 0x01bf5e00 (2.74%)
Wrote 88576 bytes at address 0x01c0b800 (2.75%)
Wrote 88576 bytes at address 0x01c21200 (2.76%)
Wrote 88576 bytes at address 0x01c36c00 (2.76%)
Wrote 88576 bytes at address 0x01c4c600 (2.77%)
Wrote 88576 bytes at address 0x01c62000 (2.78%)
Wrote 88576 bytes at address 0x01c77a00 (2.79%)
Wrote 88576 bytes at address 0x01c8d400 (2.80%)
Wrote 88576 bytes at address 0x01ca2e00 (2.80%)
Wrote 88576 bytes at address 0x01cb8800 (2.81%)
Wrote 88576 bytes at address 0x01cce200 (2.82%)
Wrote 88576 bytes at address 0x01ce3c00 (2.83%)
Wrote 88576 bytes at address 0x01cf9600 (2.84%)
Wrote 88576 bytes at address 0x01d0f000 (2.85%)
Wrote 88576 bytes at address 0x01d24a00 (2.85%)
Wrote 88576 bytes at address 0x01d3a400 (2.86%)
Wrote 88576 bytes at address 0x01d4fe00 (2.87%)
Wrote 88576 bytes at address 0x01d65800 (2.88%)
Wrote 88576 bytes at address 0x01d7b200 (2.89%)
Wrote 88576 bytes at address 0x01d90c00 (2.90%)
Wrote 88576 bytes at address 0x01da6600 (2.90%)
Wrote 88576 bytes at address 0x01dbc000 (2.91%)
Wrote 88576 bytes at address 0x01dd1a00 (2.92%)
Wrote 88576 bytes at address 0x01de7400 (2.93%)
Wrote 88576 bytes at address 0x01dfce00 (2.94%)
Wrote 88576 bytes at address 0x01e12800 (2.94%)
